sector,sexo,horas_semana,ingreso_mensual,ingreso_por_hora
Informal,Mujer,48,6450,31.25
Informal,Hombre,9,1720,44.44
Informal,Mujer,50,7740,36.0
Formal,Mujer,14,16000,265.78
Informal,Hombre,50,10000,46.51
Formal,Mujer,45,6450,33.33
Informal,Hombre,65,10000,35.78
Informal,Mujer,30,8600,66.67
Informal,Mujer,12,6880,133.33
Informal,Mujer,30,5805,45.0
Informal,Hombre,42,12900,71.43
Informal,Hombre,70,7000,23.26
Informal,Mujer,15,5160,80.0
Formal,Hombre,56,10750,44.64
Informal,Mujer,8,2150,62.5
Informal,Hombre,66,17200,60.61
Informal,Mujer,49,2580,12.24
Informal,Mujer,36,6000,38.76
Informal,Hombre,48,10000,48.45
Formal,Hombre,10,10250,238.37
Informal,Mujer,20,10750,125.0
Informal,Hombre,30,5160,40.0
Informal,Hombre,32,5160,37.5
Formal,Mujer,25,30000,279.07
Formal,Hombre,45,10000,51.68
Informal,Hombre,58,10750,43.1
Informal,Mujer,40,12900,75.0
Informal,Hombre,35,7000,46.51
Formal,Mujer,30,14000,108.53
Informal,Mujer,25,4300,40.0
Informal,Mujer,15,4300,66.67
Informal,Hombre,40,50000,290.7
Informal,Mujer,48,6880,33.33
Informal,Mujer,72,9030,29.17
Formal,Hombre,40,30000,174.42
Formal,Hombre,60,8600,33.33
Informal,Hombre,15,2580,40.0
Informal,Hombre,48,7740,37.5
Informal,Hombre,8,1290,37.5
Informal,Mujer,5,6000,279.07
Informal,Hombre,66,21500,75.76
Informal,Hombre,50,8600,40.0
Informal,Mujer,48,5160,25.0
Informal,Hombre,8,15050,437.5
Formal,Mujer,30,30000,232.56
Informal,Hombre,72,10320,33.33
Informal,Mujer,10,860,20.0
Informal,Mujer,12,3870,75.0
Formal,Hombre,50,30000,139.53
Informal,Hombre,84,6020,16.67
Informal,Mujer,72,8600,27.78
Formal,Mujer,50,28000,130.23
Informal,Mujer,50,64500,300.0
Formal,Mujer,40,8300,48.26
Informal,Hombre,70,5418,18.0
Informal,Mujer,8,8600,250.0
Informal,Hombre,30,6450,50.0
Informal,Hombre,8,4300,125.0
Informal,Mujer,24,5160,50.0
Informal,Hombre,60,6450,25.0
Informal,Hombre,9,12000,310.08
Informal,Hombre,24,12900,125.0
Formal,Mujer,55,12000,50.74
Informal,Hombre,66,10000,35.24
Informal,Hombre,73,11610,36.99
Formal,Hombre,48,15000,72.67
Informal,Hombre,68,12000,41.04
Informal,Mujer,40,13500,78.49
Formal,Mujer,32,25000,181.69
