alcaldia,afluencia_total,afluencia_promedio_diaria,estaciones_unicas,dias_con_datos,afluencia_total_millones,zona
Cuauhtémoc,5261236902,20297,34,259210,5261.24,Centro/Oriente
Iztacalco,2366535723,25511,12,92766,2366.54,Centro/Oriente
Iztapalapa,2245903961,18384,23,122169,2245.9,Centro/Oriente
Gustavo A. Madero,2233553267,17280,17,129255,2233.55,Norte/Nororiente (conexión Edomex)
Benito Juárez,1921571796,19703,16,97528,1921.57,Centro/Oriente
Venustiano Carranza,1681091533,15528,15,108265,1681.09,Norte/Nororiente (conexión Edomex)
Miguel Hidalgo,1670438675,22502,10,74236,1670.44,Centro/Oriente
Estado de México,1413588369,23781,11,59442,1413.59,Norte/Nororiente (conexión Edomex)
Coyoacán,1410462184,40088,6,35184,1410.46,Sur/Poniente
Azcapotzalco,893971534,13840,10,64595,893.97,Norte/Nororiente (conexión Edomex)
Álvaro Obregón,658218746,28916,4,22763,658.22,Sur/Poniente
Naucalpan,571961216,97554,1,5863,571.96,Centro/Oriente
Nezahualcóyotl (Edomex),158638739,13458,2,11788,158.64,Norte/Nororiente (conexión Edomex)
Tláhuac,150863239,23780,2,6344,150.86,Sur/Poniente
