estacion,alcaldia,linea,afluencia,afluencia_millones,es_norte
Indios Verdes,Gustavo A. Madero,Línea 3,598922286,598.92,⬆ Norte/Edomex
Cuatro Caminos,Naucalpan,Línea 2,571961216,571.96,
Constitución de 1917,Iztapalapa,Línea 8,495555972,495.56,
Tasqueña,Coyoacán,Línea 2,423109382,423.11,
Pantitlán,Iztacalco,Línea 5,420186335,420.19,
Pantitlán,Iztacalco,Línea A,393658581,393.66,
Pantitlán,Iztacalco,Línea 9,375958018,375.96,
Universidad,Coyoacán,Línea 3,357886808,357.89,
Zócalo/Tenochtitlan,Cuauhtémoc,Línea 2,325840030,325.84,
Observatorio,Álvaro Obregón,Línea 1,316308727,316.31,
Ciudad Azteca,Estado de México,Línea B,303422552,303.42,⬆ Norte/Edomex
Buenavista,Cuauhtémoc,Línea B,300263611,300.26,
Tacubaya,Miguel Hidalgo,Línea 9,285589000,285.59,
Chapultepec,Miguel Hidalgo,Línea 1,253882374,253.88,
Insurgentes,Cuauhtémoc,Línea 1,252720822,252.72,
Zaragoza,Venustiano Carranza,Línea 1,237348026,237.35,⬆ Norte/Edomex
Merced,Cuauhtémoc,Línea 1,236896464,236.9,
Chilpancingo,Benito Juárez,Línea 9,224256976,224.26,
Pantitlán,Iztacalco,Línea 1,215056842,215.06,
Barranca del Muerto,Álvaro Obregón,Línea 7,201974863,201.97,
