estacion,linea,alcaldia,total,promedio_diario,total_millones
Ciudad Azteca,Línea B,Estado de México,303422552,51471,303.42
La Paz,Línea A,Estado de México,201382074,34883,201.38
Múzquiz,Línea B,Estado de México,173545547,29439,173.55
Ecatepec,Línea B,Estado de México,146811334,24904,146.81
Impulsora,Línea B,Estado de México,137740124,23366,137.74
Nezahualcóyotl,Línea B,Nezahualcóyotl (Edomex),124830696,21176,124.83
Río de los Remedios,Línea B,Estado de México,111074405,18845,111.07
Plaza Aragón,Línea B,Estado de México,110605917,18763,110.61
Los Reyes,Línea A,Estado de México,105412608,18260,105.41
Olivos,Línea 12,Estado de México,46212431,14294,46.21
Calle 11,Línea 12,Estado de México,40496356,11714,40.5
Norte 45,Línea 6,Estado de México,36885021,6319,36.89
Bosque de Aragón,Línea B,Nezahualcóyotl (Edomex),33808043,5737,33.81
