anio,Centro/Oriente,Norte/Nororiente,Sur/Poniente,ratio_norte_sur
2010,938076248,448705797,143466552,3.13
2011,970280190,472937587,151686120,3.12
2012,967361703,480147213,161356259,2.98
2013,1043902959,474489452,166544207,2.85
2014,1007773677,451025612,155534305,2.9
2015,1015902413,452762240,155163989,2.92
2016,1040470457,453890276,168201981,2.7
2017,1010740479,438604974,166306958,2.64
2018,1030893443,443103281,173478289,2.55
2019,984272327,437903598,172475354,2.54
2020,546136244,258005203,90082895,2.86
2021,486358627,237068087,70872835,3.34
2022,634746240,298663190,96698865,3.09
2023,712985604,301184760,101128927,2.98
2024,730443251,332294475,109121387,3.05
2025,792763748,345419306,117187538,2.95
2026,124540663,54638391,20237708,2.7
