alcaldia,zona,afluencia,afluencia_millones
Cuauhtémoc,Centro/Oriente,249738235,249.74
Iztapalapa,Centro/Oriente,160434444,160.43
Gustavo A. Madero,Norte/Nororiente,117641795,117.64
Benito Juárez,Centro/Oriente,109283790,109.28
Iztacalco,Centro/Oriente,99422123,99.42
Estado de México,Norte/Nororiente,80927388,80.93
Miguel Hidalgo,Centro/Oriente,79263918,79.26
Venustiano Carranza,Norte/Nororiente,76820040,76.82
Coyoacán,Sur/Poniente,73534382,73.53
Azcapotzalco,Norte/Nororiente,48317051,48.32
Naucalpan,Centro/Oriente,32300741,32.3
Álvaro Obregón,Sur/Poniente,18738046,18.74
Tláhuac,Sur/Poniente,16848959,16.85
Nezahualcóyotl (Edomex),Norte/Nororiente,8588201,8.59
