"LLAVESDE","LLAVEVIV","LLAVEHOG","PAREN","PARENC","SEXO","EDAD","P3_6_1","P3_6_2","P3_6_3","P3_6_4","P3_6_5","P3_6_6","P3_6_7","P3_6_8","P3_7","P3_8","P3_9","P3_10","P3_11","P3_12","P3_13","CVEGEO","CVE_ENT","TLOC","MENOR10","EST_DIS","UPM_DIS","FAC_HOG","CONTROL","VIV_SEL","HOGAR","N_REN"
"010009401101","010009401","0100094011","1","","2","59","1","1","1","1","1","1","1","1","","3","03","","","","","01","01","1","2","0001","00001",509,"0100094","01","1","01"
"010009401103","010009401","0100094011","3","","1","25","1","1","1","1","1","1","1","1","","3","03","","","","","01","01","1","2","0001","00001",509,"0100094","01","1","03"
"010009401102","010009401","0100094011","3","","2","33","2","1","1","1","1","1","1","1","","3","03","","","","","01","01","1","2","0001","00001",509,"0100094","01","1","02"
"010009401105","010009401","0100094011","3","","1","09","1","1","1","1","1","1","1","1","","3","03","","","1","","01","01","1","2","0001","00001",509,"0100094","01","1","05"
"010009401104","010009401","0100094011","4","","1","09","1","1","1","1","1","1","1","1","","3","03","","","1","","01","01","1","2","0001","00001",509,"0100094","01","1","04"
"010009402101","010009402","0100094021","1","","1","41","1","2","1","1","1","1","1","1","","3","04","","","","","01","01","1","2","0001","00001",509,"0100094","02","1","01"
"010009402102","010009402","0100094021","2","","2","42","1","1","2","2","1","1","1","1","","3","04","","","","","01","01","1","2","0001","00001",509,"0100094","02","1","02"
"010009402105","010009402","0100094021","3","","2","08","1","1","1","1","1","1","1","1","","3","04","","","1","","01","01","1","2","0001","00001",509,"0100094","02","1","05"
"010009402104","010009402","0100094021","3","","1","14","1","1","1","1","1","1","1","1","","3","04","","","1","","01","01","1","2","0001","00001",509,"0100094","02","1","04"
"010009402103","010009402","0100094021","5","","1","70","1","1","1","1","1","1","1","1","","3","04","","","","","01","01","1","2","0001","00001",509,"0100094","02","1","03"
"010009403101","010009403","0100094031","1","","1","53","1","1","1","1","1","1","1","1","","3","01","","","","","01","01","1","2","0001","00001",509,"0100094","03","1","01"
"010009403102","010009403","0100094031","2","","2","43","1","1","1","1","1","1","1","1","","3","01","","","","","01","01","1","2","0001","00001",509,"0100094","03","1","02"
"010009403104","010009403","0100094031","3","","2","19","1","1","1","1","1","1","1","1","","3","01","","","2","03","01","01","1","2","0001","00001",509,"0100094","03","1","04"
"010009403103","010009403","0100094031","3","","1","27","1","1","1","1","1","1","1","1","","3","01","","","","","01","01","1","2","0001","00001",509,"0100094","03","1","03"
"010009404101","010009404","0100094041","1","","1","31","1","1","1","1","1","1","1","1","","3","08","","","","","01","01","1","2","0001","00001",509,"0100094","04","1","01"
"010009404102","010009404","0100094041","2","","2","32","1","1","1","1","1","1","1","1","","3","08","","","","","01","01","1","2","0001","00001",509,"0100094","04","1","02"
"010009404104","010009404","0100094041","3","","2","01","1","1","1","1","1","1","1","1","","3","08","2","1","","","01","01","1","2","0001","00001",509,"0100094","04","1","04"
"010009404103","010009404","0100094041","3","","2","04","1","1","1","1","1","1","1","1","","3","08","1","","","","01","01","1","2","0001","00001",509,"0100094","04","1","03"
"010009405101","010009405","0100094051","1","","1","28","1","1","1","1","1","1","1","1","","3","09","","","","","01","01","1","2","0001","00001",509,"0100094","05","1","01"
"010009405102","010009405","0100094051","2","","2","25","1","1","1","1","1","1","1","1","","3","09","","","","","01","01","1","2","0001","00001",509,"0100094","05","1","02"
"010009405103","010009405","0100094051","3","","1","02","1","1","1","1","1","1","1","1","","3","08","2","1","","","01","01","1","2","0001","00001",509,"0100094","05","1","03"
"010009405104","010009405","0100094051","3","","1","00","1","1","1","1","1","1","1","1","","3","08","2","1","","","01","01","1","2","0001","00001",509,"0100094","05","1","04"
"010011402101","010011402","0100114021","1","","1","43","2","1","1","1","1","1","1","1","","3","03","","","","","01","01","1","2","0002","00002",581,"0100114","02","1","01"
"010011402102","010011402","0100114021","2","","2","43","2","2","1","1","1","1","1","1","","3","03","","","","","01","01","1","2","0002","00002",581,"0100114","02","1","02"
"010011402103","010011402","0100114021","3","","1","16","1","1","1","1","1","1","1","1","","3","03","","","1","","01","01","1","2","0002","00002",581,"0100114","02","1","03"
"010011402104","010011402","0100114021","3","","2","09","1","1","1","1","1","1","1","1","","3","03","","","1","","01","01","1","2","0002","00002",581,"0100114","02","1","04"
"010011403101","010011403","0100114031","1","","1","45","1","1","1","1","1","1","1","1","","3","05","","","","","01","01","1","2","0002","00002",581,"0100114","03","1","01"
"010011403102","010011403","0100114031","2","","2","40","2","1","1","1","1","1","1","1","","3","05","","","","","01","01","1","2","0002","00002",581,"0100114","03","1","02"
"010011403105","010011403","0100114031","3","","2","04","1","1","1","1","1","1","1","1","","3","05","1","","","","01","01","1","2","0002","00002",581,"0100114","03","1","05"
"010011403104","010011403","0100114031","3","","2","10","1","1","1","1","1","1","1","1","","3","05","","","1","","01","01","1","2","0002","00002",581,"0100114","03","1","04"
"010011403103","010011403","0100114031","3","","1","14","1","1","1","1","1","1","1","1","","3","05","","","1","","01","01","1","2","0002","00002",581,"0100114","03","1","03"
"010011404101","010011404","0100114041","1","","1","25","1","1","1","1","1","1","1","1","","3","09","","","","","01","01","1","2","0002","00002",581,"0100114","04","1","01"
"010011404102","010011404","0100114041","2","","2","24","1","1","1","1","1","1","1","1","","3","09","","","2","11","01","01","1","2","0002","00002",581,"0100114","04","1","02"
"010011404103","010011404","0100114041","3","","2","05","1","1","1","1","1","1","1","1","","3","09","","","2","11","01","01","1","2","0002","00002",581,"0100114","04","1","03"
"010011404104","010011404","0100114041","3","","1","07","1","1","1","1","1","1","1","1","","3","09","","","2","11","01","01","1","2","0002","00002",581,"0100114","04","1","04"
"010011405101","010011405","0100114051","1","","1","37","1","1","1","1","1","1","1","1","","3","09","","","","","01","01","1","2","0002","00002",581,"0100114","05","1","01"
"010011405102","010011405","0100114051","2","","2","36","1","1","1","1","1","1","1","1","","3","03","","","","","01","01","1","2","0002","00002",581,"0100114","05","1","02"
"010011405103","010011405","0100114051","3","","2","04","1","1","1","1","1","1","1","1","","3","03","1","","","","01","01","1","2","0002","00002",581,"0100114","05","1","03"
"010011405104","010011405","0100114051","3","","1","07","1","1","1","1","1","1","1","1","","3","03","","","1","","01","01","1","2","0002","00002",581,"0100114","05","1","04"
"010011801101","010011801","0100118011","1","","1","30","1","1","1","1","2","1","1","2","","3","08","","","","","01","01","1","2","0002","00003",509,"0100118","01","1","01"
